{' Yes': -0.4832697, ' No': -0.96698284, 'Yes': -6.763613, 'No': -6.8934584, ' Nope': -7.4044847}
{' No': -0.00084550463, 'No': -7.094353, ' Yes': -11.966831, ' Nope': -12.573232, '\n': -12.723542}
{' No': -0.000993099, 'No': -6.9446573, ' Yes': -11.52081, ' Nope': -11.633228, '\n': -12.231212}
{' No': -0.2556281, ' Yes': -1.4960989, ' Nope': -7.039601, 'No': -7.691718, 'Yes': -8.865896}
{' No': -0.0039595286, ' Yes': -5.821494, 'No': -7.1241846, ' Nope': -8.706895, '\n': -11.728183}
{' No': -0.0005783439, 'No': -7.498178, ' Nope': -10.894894, '\n': -13.201915, ' Yes': -13.267595}
{' No': -0.00076258706, 'No': -7.1969867, ' Nope': -11.997382, '\n': -12.360111, ' Yes': -13.679724}
{' Yes': -0.0030501701, 'Yes': -6.198403, ' No': -7.4048653, ' Snake': -8.392607, ' YES': -9.901821}
{' Yes': -0.011592832, ' No': -5.369058, ' Snake': -5.511631, 'Yes': -6.195543, ' Sn': -7.8762755}
{' No': -0.00090283365, 'No': -7.023739, '\n': -11.868463, ' Nope': -12.996263, ' Yes': -13.607214}
{' No': -0.0007350855, 'No': -7.2488923, ' Nope': -11.024188, '\n': -12.590833, ' Yes': -12.953803}
{' No': -0.33891764, ' Yes': -1.357646, ' Nope': -3.595, 'No': -6.8059506, ' Laugh': -7.9771633}
{' No': -0.296113, ' Yes': -1.4110994, ' Nope': -4.767106, ' Laugh': -6.4762864, 'No': -6.525929}
{' No': -0.0012887204, ' Nope': -7.7083273, ' Yes': -7.7780085, 'No': -7.8030863, '\n': -12.057792}
{' No': -0.0052044666, ' Yes': -5.5153627, ' Nope': -7.3908687, 'No': -7.5555716, '\n': -11.260981}
{' No': -0.008313631, ' Yes': -5.0565352, 'No': -6.320517, ' Nope': -9.423549, 'Yes': -11.424979}
{' No': -0.008142354, ' Yes': -5.0466475, 'No': -6.557674, ' Nope': -8.437209, 'Yes': -11.509855}
{' No': -0.0009693577, 'No': -6.9507694, ' Yes': -11.943274, '\n': -12.979147, ' ': -13.946644}
{' No': -0.00060357206, 'No': -7.426867, ' Yes': -12.3129, '\n': -13.294835, ' Nope': -13.768543}
{' No': -0.0018427793, ' Yes': -6.8737884, 'No': -7.1725974, ' Nope': -10.505837, '\n': -11.884082}
{' Yes': -0.3195651, ' No': -1.3023914, ' Nope': -7.231978, 'Yes': -7.5598145, 'No': -8.488033}
{' No': -0.00090283365, 'No': -7.019703, '\n': -12.224713, ' ': -13.46082, ' Nope': -14.1525545}
{' No': -0.00051447254, 'No': -7.5830226, '\n': -12.745263, ' ': -13.941572, ' Nope': -14.030421}
{' No': -0.5886973, ' Yes': -0.8705368, ' Plane': -3.927326, ' Nope': -5.809781, 'No': -6.772554}
{' Yes': -0.10420201, ' No': -2.6372354, ' Plane': -3.7538104, 'Yes': -6.2608104, ' Nope': -7.1497426}
{' No': -0.00062730775, 'No': -7.3892555, '\n': -12.500638, ' Yes': -12.897834, ' Nope': -13.518767}
{' No': -0.00049968314, 'No': -7.6240077, ' Nope': -12.573837, '\n': -12.668242, ' Yes': -13.07859}
{' Yes': -0.09925985, ' No': -2.3907144, 'Yes': -6.9817514, ' Found': -7.1474786, ' Nope': -7.5594316}
{' Yes': -0.03406346, ' No': -3.5545924, ' Found': -6.025642, 'Yes': -6.9125733, ' Nope': -8.421225}
{' No': -0.00063774554, 'No': -7.3888874, ' Nope': -11.363501, '\n': -12.667721, ' Yes': -12.734678}
{' No': -0.00031441596, 'No': -8.09353, ' Nope': -12.387404, '\n': -13.280124, ' Yes': -13.323103}
{' No': -0.006551085, ' Yes': -5.1731234, ' Nope': -7.731246, 'No': -7.888938, ' Uncle': -11.078623}
{' No': -0.01623982, ' Yes': -4.4979424, ' Nope': -5.506264, 'No': -7.3564, ' Un': -9.08391}
{' No': -0.00058084924, 'No': -7.526482, ' Yes': -10.86949, ' Nope': -11.150461, '\n': -12.192558}
{' No': -0.00073353574, 'No': -7.458449, ' Yes': -9.344268, ' Nope': -9.756829, '\n': -11.814782}
{' Yes': -0.04296085, ' No': -3.1871753, 'Yes': -7.366897, 'No': -10.063631, ' Nope': -10.593839}
{' Yes': -0.14507945, ' No': -2.0126598, 'Yes': -7.084328, ' Nope': -8.135954, 'No': -8.60664}
{' No': -0.0005391018, 'No': -7.5415354, ' Nope': -12.713099, '\n': -12.881371, ' Yes': -13.661066}
{' No': -0.00071224343, 'No': -7.2665105, '\n': -12.0293045, ' Nope': -12.281111, ' ': -13.372164}
{' Yes': -0.0021636793, 'Yes': -7.148291, ' Sleep': -7.774266, ' No': -7.923224, ' Yep': -8.064773}
{' Yes': -0.007513706, ' No': -5.0943303, 'Yes': -7.232971, ' Sleep': -8.189863, ' yes': -9.151462}
{' No': -0.0006801538, 'No': -7.31507, '\n': -11.957323, ' Nope': -12.192377, ' ': -13.421826}
{' No': -0.00071916316, 'No': -7.251175, '\n': -12.213224, ' Nope': -13.112933, ' ': -13.435157}
{' No': -0.09684787, ' Yes': -2.3905203, 'No': -7.4626846, 'Yes': -9.348917, ' Nope': -9.971027}
{' Yes': -0.3302985, ' No': -1.2771636, ' Nope': -6.5164976, 'Yes': -7.317832, 'No': -8.606811}
{' No': -0.0009355268, 'No': -6.987067, ' Yes': -12.2690115, '\n': -12.495903, ' Nope': -13.357283}
{' No': -0.0005262817, 'No': -7.57864, ' Yes': -12.091534, ' Nope': -12.160535, '\n': -12.963694}
{' Yes': -0.103483066, ' No': -2.3751411, ' Te': -6.427981, 'Yes': -6.6754217, ' Nope': -6.7557583}
{' Yes': -0.051606037, ' No': -3.0456128, 'Yes': -6.8302517, ' Nope': -6.9211, ' Yeah': -9.16617}
{' No': -0.00062957645, 'No': -7.3838253, ' Yes': -12.772722, '\n': -13.155243, ' Nope': -13.273578}
{' No': -0.0008495615, 'No': -7.0927014, ' Yes': -11.384613, '\n': -12.705414, ' Nope': -13.43796}
{' Yes': -0.0015797724, ' No': -6.632271, 'Yes': -8.404802, ' Sure': -11.0709505, '\n': -11.711382}
{' Yes': -0.0013034027, ' No': -6.911722, 'Yes': -8.384491, ' Sure': -9.984898, '\n': -11.674016}
{' No': -0.0006242074, 'No': -7.504664, ' Yes': -9.663914, '\n': -12.193113, ' Nope': -12.649822}
{' No': -0.0010577176, ' Yes': -7.4475503, 'No': -7.7043405, ' Nope': -11.540538, '\n': -11.569049}
{' Yes': -0.007967081, ' No': -5.069721, 'Yes': -6.770384, ' Drunk': -8.330902, ' yes': -9.209416}
{' Yes': -0.10180959, ' No': -2.3563337, 'Yes': -6.694446, ' Nope': -7.8552217, 'No': -9.080399}
{' No': -0.0006438308, 'No': -7.3691845, ' Nope': -12.029704, ' Yes': -12.732521, '\n': -13.327529}
{' No': -0.00095533516, 'No': -6.9718494, ' Yes': -11.50261, ' Nope': -12.889404, '\n': -13.421277}
{' No': -0.014285461, ' Yes': -4.3126807, 'No': -7.4714212, ' Nope': -8.553103, 'Yes': -11.560876}
{' No': -0.010840753, ' Yes': -4.6076727, 'No': -7.296387, ' Nope': -9.388455, 'Yes': -11.247359}
{' No': -0.00093212794, 'No': -6.9941454, '\n': -12.047376, ' Nope': -12.205933, ' ': -13.221461}
{' No': -0.00054936216, 'No': -7.530342, '\n': -12.195947, ' Nope': -12.597171, ' ': -13.213433}
{' Yes': -0.00040832703, 'Yes': -8.005145, ' yes': -10.1788645, ' Word': -11.231059, ' YES': -11.716657}
{' Yes': -0.0023535916, ' No': -6.404432, 'Yes': -7.898191, ' Word': -8.659228, ' yes': -9.603137}
{' No': -0.0007422436, 'No': -7.2181706, '\n': -12.489963, ' Nope': -13.03676, ' ': -13.339788}
{' No': -0.00044261315, 'No': -7.7562633, ' Nope': -11.970127, '\n': -12.32091, ' Yes': -13.360484}
{' No': -0.6550257, ' Yes': -0.8475401, ' Ch': -3.374056, ' Nope': -4.591387, ' Chal': -5.8958}
{' No': -0.040429525, ' Yes': -3.2658494, ' Nope': -7.2104273, 'No': -7.317815, 'Yes': -10.475951}
{' No': -0.0007638983, 'No': -7.200469, ' Yes': -11.406931, '\n': -12.772647, ' Nope': -13.220797}
{' No': -0.000990237, 'No': -6.92531, '\n': -12.7659445, ' Yes': -13.436384, ' Nope': -13.740008}
{' Yes': -0.0046793222, ' No': -5.4939065, 'Yes': -7.6280155, ' yes': -10.511854, ' Woman': -10.857819}
{' Yes': -0.00085158896, 'Yes': -7.6070943, ' Woman': -8.539549, ' No': -9.119506, ' YES': -11.050355}
{' No': -0.00061633304, 'No': -7.4161186, '\n': -11.960398, ' Yes': -12.662903, ' Nope': -12.856674}
{' No': -0.00061514095, 'No': -7.4073358, ' Yes': -12.39459, ' Nope': -13.027657, '\n': -13.95766}
{' Yes': -0.002176524, 'Yes': -6.899225, ' Party': -7.298679, ' No': -8.255409, ' yes': -9.854519}
{' Yes': -0.08128919, ' No': -2.5649757, 'Yes': -7.354257, ' Party': -8.855768, ' Nope': -8.860704}
{' No': -0.000757874, 'No': -7.1995435, '\n': -12.253026, ' Yes': -12.916325, ' ': -13.683778}
{' No': -0.0005704706, 'No': -7.4993825, '\n': -11.965226, ' Nope': -12.2927265, ' Yes': -12.442767}
{' Yes': -0.1439894, ' No': -2.013477, 'Yes': -7.7893825, 'No': -9.371315, ' yes': -10.523789}
{' No': -0.26408705, ' Yes': -1.4634907, 'No': -7.7044115, 'Yes': -8.959203, ' Nope': -9.706338}
{' No': -0.0009411362, 'No': -6.9791584, '\n': -12.13336, ' Nope': -13.483767, ' Yes': -13.626151}
{' No': -0.0008561208, 'No': -7.0721583, '\n': -12.7427, ' Nope': -13.334123, ' Yes': -13.574343}
{' Yes': -0.00095116004, 'Yes': -7.119303, ' No': -9.481588, ' YES': -10.908763, ' yes': -11.209363}
{' Yes': -0.012575841, ' No': -5.2145905, ' Shoes': -5.3319707, 'Yes': -6.4359956, ' Y': -8.921422}
{' No': -0.00089388643, 'No': -7.034962, '\n': -12.006826, ' Yes': -12.578601, ' Nope': -13.077564}
{' No': -0.00064275606, 'No': -7.4118075, ' Yes': -11.095048, ' Nope': -11.286888, '\n': -11.664461}
{' Yes': -0.003547781, ' No': -5.8226247, 'Yes': -7.5272827, ' yes': -11.318742, ' YES': -11.857921}
{' Yes': -0.06415024, ' No': -2.7988362, ' Ghost': -7.7605395, 'Yes': -7.805123, ' Nope': -8.060036}
{' No': -0.0007325849, 'No': -7.239357, '\n': -12.02532, ' Nope': -12.097737, ' ': -13.172413}
{' No': -0.0011386921, 'No': -6.788721, '\n': -12.220065, ' Nope': -12.589028, ' ': -13.144547}
{' Yes': -0.0009554553, ' Shirt': -7.9486065, 'Yes': -7.966102, ' No': -8.489278, ' YES': -10.907241}
{' Yes': -0.008821141, ' Shirt': -5.117769, ' No': -6.4837604, 'Yes': -6.8531218, ' YES': -10.067599}
{' No': -0.00059343275, 'No': -7.497856, ' Nope': -10.652678, ' Yes': -11.391422, '\n': -13.283099}
{' No': -0.000903072, 'No': -7.1969724, ' Yes': -9.32433, ' Nope': -9.755467, '\n': -12.66073}
{' No': -0.6049077, ' Yes': -0.79556054, 'Yes': -7.0425577, ' Pants': -7.3966856, ' Nope': -7.6161513}
{' No': -0.51828074, ' Yes': -0.91626424, ' Nope': -6.5543656, ' Pants': -6.559977, 'Yes': -6.956131}
{' No': -0.0003640856, 'No': -7.94065, '\n': -12.566085, ' Nope': -13.141918, ' Yes': -13.4490385}
{' No': -0.00049872854, 'No': -7.6317015, '\n': -11.993971, ' Nope': -12.433195, ' Yes': -13.414452}
{' Yes': -0.4263873, ' No': -1.0730891, ' Board': -5.9667068, 'Yes': -6.935683, 'No': -7.0604296}
{' Yes': -0.042959545, ' No': -3.2389643, 'Yes': -6.3813367, ' Board': -7.491549, ' yes': -8.5915365}
{' No': -0.0012323225, 'No': -6.71542, '\n': -11.5952015, ' Yes': -12.186359, ' Nope': -13.1348915}
{' No': -0.0010957283, 'No': -6.8266907, '\n': -12.011344, ' Nope': -13.376566, ' Yes': -13.438937}
{' Yes': -0.013529848, ' No': -4.4093065, 'Yes': -6.889781, ' yes': -9.397655, ' YES': -9.992636}
{' Yes': -0.06448992, ' No': -2.7917123, 'Yes': -7.3216057, ' Nope': -8.126154, ' yes': -10.106728}
{' No': -0.00094626687, 'No': -6.9936066, ' Yes': -11.111783, '\n': -11.849258, ' Nope': -12.570855}
{' No': -0.00056760764, 'No': -7.5191045, ' Yes': -11.517621, ' Nope': -12.001251, '\n': -12.011967}
{' Yes': -0.012183524, ' No': -4.596603, ' Nope': -7.1460614, 'Yes': -7.1866465, ' Sure': -8.537249}
{' Yes': -0.043715946, ' No': -3.7766259, ' There': -4.3834352, 'Yes': -6.099486, ' Nope': -6.7851276}
{' No': -0.0014176422, ' Yes': -7.410803, 'No': -7.414179, ' Nope': -8.609795, '\n': -11.570833}
{' No': -0.0009849843, 'No': -7.237548, ' Nope': -8.70477, ' Yes': -10.032836, ' Unfortunately': -11.2743435}
{' No': -0.02180578, ' Yes': -3.9162834, 'No': -6.5533285, ' Nope': -8.861573, 'Yes': -10.2984915}
{' No': -0.09917671, ' Yes': -2.5181143, ' Sn': -4.912781, 'No': -5.9970474, ' Nope': -6.8371572}
{' No': -0.00074093236, 'No': -7.2206693, '\n': -12.48712, ' Nope': -12.719383, ' ': -13.775125}
{' No': -0.000563196, 'No': -7.5111337, '\n': -11.724268, ' Nope': -12.211725, ' ': -13.433234}
{' Yes': -0.3645585, ' No': -1.1938165, ' Bride': -7.356723, 'Yes': -7.627334, ' Bridge': -7.799329}
{' Yes': -0.17527363, ' No': -1.9581678, ' Bridge': -4.741014, ' Bride': -4.989307, 'Yes': -6.939563}
{' No': -0.00049455435, 'No': -7.6326127, '\n': -12.063409, ' Nope': -13.29055, ' ': -13.434768}
{' No': -0.00056772784, 'No': -7.4950533, '\n': -12.074645, ' Nope': -12.763116, ' ': -13.394876}
{' Yes': -0.027589777, ' No': -3.6221292, 'Yes': -7.929489, ' Nope': -10.2951565, ' Throw': -10.622738}
{' Yes': -0.5296838, ' Throw': -1.4447457, ' No': -1.7707936, '\n': -6.782424, ' Nope': -6.9696765}
{' No': -0.0005184101, 'No': -7.58781, ' Nope': -11.764282, '\n': -13.112831, ' Yes': -13.708756}
{' No': -0.000597132, 'No': -7.5466933, ' Nope': -9.7960415, ' Yes': -11.781451, '\n': -12.935428}
{' Yes': -0.02488584, ' No': -3.7780728, 'Yes': -6.9804554, ' Women': -8.134522, ' Yep': -9.005552}
{' Yes': -0.007222848, ' No': -5.2354794, 'Yes': -6.820911, ' Yep': -8.55374, ' Yeah': -8.978817}
{' No': -0.00084228313, 'No': -7.0976152, ' Yes': -11.626174, '\n': -12.881446, ' Nope': -13.11966}
{' No': -0.0006650631, 'No': -7.3517675, ' Yes': -11.470685, ' Nope': -11.836551, '\n': -12.52657}
{' No': -0.16181429, ' Yes': -1.9435353, ' Nope': -6.363386, 'No': -6.589528, 'Yes': -7.6143312}
{' No': -0.11993801, ' Yes': -2.1941528, 'No': -7.3619766, ' Nope': -7.3735347, 'Yes': -8.891246}
{' No': -0.0018922866, ' Yes': -6.86815, 'No': -7.5428925, ' Nope': -8.180168, ' Not': -10.790433}
{' No': -0.0020074279, ' Yes': -6.52772, 'No': -7.697052, ' Nope': -9.518827, '\n': -12.249278}
{' No': -0.24760923, ' Yes': -1.5459185, ' Nope': -5.3271456, 'No': -7.328513, 'Yes': -8.335885}
{' Yes': -0.3075376, ' No': -1.3619696, ' Lo': -6.008911, ' Nope': -6.1561346, ' Los': -6.438076}
{' No': -0.00085934316, 'No': -7.0738, ' Nope': -11.994779, '\n': -12.798661, ' Yes': -13.718947}
{' No': -0.0006050035, 'No': -7.4353085, '\n': -12.197772, ' Yes': -12.403327, ' Nope': -12.858447}
{' No': -0.28849986, ' Yes': -1.3880941, 'No': -7.3525696, ' Nope': -8.436322, 'Yes': -8.757563}
{' No': -0.040178753, ' Yes': -3.2550945, 'No': -7.354273, ' Nope': -9.06378, 'Yes': -10.529494}
{' No': -0.0010510954, 'No': -6.867155, '\n': -12.409683, ' Nope': -13.199514, ' ': -13.508757}
{' No': -0.0010571234, 'No': -6.862744, '\n': -12.290813, ' Yes': -12.881275, ' Nope': -13.418649}
{' Yes': -0.00036301085, 'Yes': -8.148948, ' No': -10.56355, ' Sure': -11.184949, ' yes': -11.751514}
{' Yes': -0.0037157626, ' Shark': -6.1553006, ' No': -7.197129, 'Yes': -7.287569, ' Sure': -10.387165}
{' No': -0.00495441, ' Yes': -6.0934625, ' Nope': -6.1901846, 'No': -7.4153466, '\n': -11.3913965}
{' No': -0.009585476, ' Yes': -5.22223, ' Nope': -5.718268, 'No': -7.165028, '\n': -10.247737}
{' Yes': -0.01987993, ' No': -3.9731553, 'Yes': -7.215125, ' yes': -10.383365, 'No': -10.424429}
{' Yes': -0.017757416, ' No': -4.13682, 'Yes': -6.68478, ' Lemon': -8.52618, 'No': -9.83783}
{' No': -0.0006407295, 'No': -7.36774, '\n': -12.476106, ' Nope': -12.840175, ' Yes': -13.83785}
{' No': -0.0009440001, 'No': -6.9902854, '\n': -11.475775, ' Nope': -11.858559, ' Yes': -12.802675}
{' No': -0.0058494923, ' Yes': -5.381767, 'No': -7.2521706, ' Nope': -7.628699, ' Not': -11.217637}
{' No': -0.016612701, ' Yes': -4.209886, ' Nope': -7.058883, 'No': -7.2498927, ' Maybe': -10.849684}
{' No': -0.00077272824, 'No': -7.1841598, '\n': -12.267821, ' Yes': -12.324573, ' Nope': -12.586451}
{' No': -0.0010800367, 'No': -6.902191, ' Yes': -10.026712, ' Nope': -10.803057, '\n': -11.975493}
{' Yes': -0.17838562, ' No': -1.8175496, 'Yes': -7.4492, 'No': -8.551358, ' Below': -9.854755}
{' Yes': -0.17112374, ' No': -1.8578532, 'Yes': -7.166984, 'No': -8.169019, ' yes': -10.111402}
{' No': -0.0011825524, 'No': -6.7481837, '\n': -12.414658, ' Nope': -13.2880535, ' Yes': -13.528672}
{' No': -0.0010819461, 'No': -6.836384, '\n': -12.378641, ' ': -13.822216, ' Nope': -13.874699}
{' Yes': -0.0077204914, ' Sm': -5.4382734, ' No': -6.177285, 'Yes': -7.572873, ' Spell': -7.807513}
{' Yes': -0.13703, ' No': -2.066023, 'Yes': -7.603638, ' Nope': -8.654303, ' Spell': -8.849951}
{' No': -0.00064335304, 'No': -7.3570385, '\n': -12.850457, ' ': -13.857736, ' Nope': -14.002877}
{' No': -0.0007833443, 'No': -7.160533, '\n': -12.484094, ' ': -13.922699, ' Nope': -13.972756}
{' No': -0.33362666, ' Yes': -1.3056611, ' Nope': -5.2592363, 'No': -6.354308, ' Your': -6.3976007}
{' No': -0.5988133, ' Yes': -0.80926436, ' Nope': -6.150451, 'Yes': -6.9930115, 'No': -7.4064956}
{' No': -0.0008489645, 'No': -7.099245, ' Nope': -11.640087, '\n': -11.845732, ' Yes': -12.339933}
{' No': -0.0005015914, 'No': -7.666936, ' Yes': -10.9605, ' Nope': -11.804609, '\n': -12.042401}
{' No': -0.016119093, ' Yes': -4.1953144, 'No': -7.0543017, ' Nope': -10.240952, 'Yes': -11.032805}
{' No': -0.011563949, ' Yes': -4.509588, 'No': -8.232764, ' Wrong': -9.037789, ' Nope': -9.306165}
{' No': -0.0016380983, 'No': -6.818683, ' Yes': -7.5592017, ' Nope': -11.159145, '\n': -12.2721405}
{' No': -0.00060357206, 'No': -7.474541, ' Yes': -11.052781, ' Nope': -11.527267, '\n': -12.016771}
{' Yes': -0.30366695, ' No': -1.3529968, ' Devil': -6.449381, 'Yes': -7.0347767, 'No': -8.11979}
{' No': -0.28065488, ' Yes': -1.4827385, ' Devil': -4.511152, ' Nope': -6.52569, 'No': -6.576711}
{' No': -0.000862803, 'No': -7.075667, '\n': -11.791184, ' ': -12.7189865, ' Yes': -12.871651}
{' No': -0.0006432329, 'No': -7.404352, ' Yes': -11.006235, ' Nope': -11.728875, '\n': -12.029192}
{' Yes': -0.00036766095, 'Yes': -8.241404, ' No': -9.418613, ' yes': -11.206407, ' YES': -12.487224}
{' Yes': -0.06353122, ' No': -2.7949553, 'Yes': -8.184514, ' Nope': -9.79775, ' yes': -10.086764}
{' No': -0.0011965778, 'No': -6.7358804, '\n': -12.461275, ' Yes': -13.468496, ' ': -13.482285}
{' No': -0.0005467358, 'No': -7.522296, '\n': -12.86251, ' Nope': -13.807551, ' Yes': -13.923775}
{' No': -0.53083766, ' Yes': -0.8898236, 'No': -7.2035093, 'Yes': -8.006716, ' Major': -10.1521015}
{' No': -0.008149986, ' Yes': -5.0036864, 'No': -6.658626, ' Nope': -9.598652, ' Major': -10.604541}
{' No': -0.0010541376, 'No': -6.862147, '\n': -12.821585, ' Yes': -13.226156, ' Nope': -13.612529}
{' No': -0.00066494296, 'No': -7.3302693, '\n': -12.403306, ' Nope': -12.963668, ' Yes': -13.665149}
{' Yes': -0.0970005, ' No': -2.388804, 'Yes': -7.555862, ' Nope': -9.443654, 'No': -9.482573}
{' Yes': -0.061669372, ' No': -2.899024, ' Worst': -5.834592, 'Yes': -7.2684073, ' Nope': -8.233866}
{' No': -0.0013652946, 'No': -6.60637, ' Nope': -12.459726, ' Yes': -12.5254135, '\n': -12.558661}
{' No': -0.00055568025, 'No': -7.522745, ' Nope': -12.167221, '\n': -12.469141, ' Yes': -12.472679}
{' No': -0.055154793, ' Yes': -2.9669263, ' Nope': -6.457942, 'No': -7.593105, ' Pound': -9.882427}
{' No': -0.4476888, ' Yes': -1.0291288, ' Nope': -6.016425, 'No': -7.476209, 'Yes': -8.312238}
{' No': -0.00049622235, 'No': -7.625866, '\n': -12.493334, ' Nope': -12.75293, ' ': -14.044911}
{' No': -0.00054971507, 'No': -7.521419, '\n': -12.804503, ' Nope': -12.934697, ' Yes': -13.61942}
{' Yes': -0.64475036, ' No': -0.747423, 'No': -7.6137767, 'Yes': -7.6224265, ' Nope': -7.6908317}
{' Yes': -0.1682448, ' No': -2.1729674, ' Dirty': -3.5901752, ' Dirt': -4.8513217, 'Yes': -6.1884522}
{' No': -0.0010430999, 'No': -7.0669613, ' Yes': -8.629532, '\n': -11.83931, ' Nope': -13.173351}
{' No': -0.0009883279, 'No': -7.116476, ' Yes': -9.400625, ' Nope': -9.441311, '\n': -11.771064}
{' Yes': -0.0018454076, 'Yes': -6.4941773, ' No': -8.681366, ' yes': -9.6199, ' YES': -9.99901}
{' Yes': -0.033156898, ' No': -3.4666855, 'Yes': -6.9140487, ' Nope': -8.610234, ' yes': -9.978103}
{' No': -0.00072733505, 'No': -7.246447, '\n': -12.179903, ' Nope': -12.224055, ' Yes': -13.047295}
{' No': -0.0008289806, 'No': -7.1102934, '\n': -12.054004, ' Nope': -12.679748, ' ': -13.490428}
{' Yes': -0.14911984, ' No': -2.4593308, 'rupt': -4.072466, ' Ru': -5.4727416, 'Yes': -5.684334}
{' No': -0.17699218, ' Yes': -2.1428812, ' Nope': -3.4469166, 'No': -6.061412, ' Un': -6.6141133}
{' No': -0.0005323031, 'No': -7.567377, '\n': -12.093226, ' Nope': -12.3777685, ' Yes': -12.671243}
{' No': -0.0011149996, 'No': -6.818032, ' Nope': -11.38098, '\n': -12.165387, ' ': -13.643845}
{' No': -0.62326765, ' Yes': -0.7707667, 'No': -7.609945, 'Yes': -7.68695, ' Nope': -8.8239355}
{' Yes': -0.59101224, ' No': -0.90893286, ' Swamp': -4.1153574, ' Nope': -4.197419, ' Sw': -5.4673223}
{' No': -0.0007783357, 'No': -7.405266, ' Yes': -8.74124, '\n': -12.334952, ' Nope': -12.621064}
{' No': -0.0021830343, 'No': -6.5625176, ' Yes': -7.301352, ' Nope': -9.657458, '\n': -11.624508}
{' Yes': -0.7481327, ' Armor': -1.0953349, ' No': -1.6752796, ' Armour': -6.295769, 'Yes': -7.5405416}
{' No': -0.61142087, ' Yes': -0.7883103, ' Armor': -6.422309, 'No': -7.3236012, 'Yes': -8.187918}
{' No': -0.00074248295, 'No': -7.2201467, '\n': -12.188517, ' Nope': -13.081375, ' Yes': -13.367236}
{' No': -0.0008463391, 'No': -7.080804, '\n': -12.960666, ' Nope': -13.954259, ' ': -14.065728}
{' Yes': -0.56301713, ' No': -0.84441394, 'Yes': -8.008892, 'No': -8.195269, ' Nope': -10.008776}
{' No': -0.0034197248, ' Yes': -5.9823294, 'No': -7.320638, ' Nope': -8.542097, '\n': -11.023514}
{' No': -0.0013648167, 'No': -6.789719, ' Yes': -8.3740425, ' Nope': -12.60482, '\n': -12.806991}
{' No': -0.00089209457, 'No': -7.0346518, ' Yes': -12.274981, '\n': -12.659925, ' Nope': -13.48174}
{' Yes': -0.1040965, ' No': -2.328782, 'Yes': -7.277901, ' Still': -8.041873, 'No': -9.293778}
{' No': -0.6906824, ' Yes': -0.7057181, ' Still': -5.6697874, 'No': -7.4167123, 'Yes': -7.756621}
{' No': -0.0006832541, 'No': -7.314062, '\n': -12.011089, ' Yes': -12.049323, ' Nope': -12.78524}
{' No': -0.0010376136, 'No': -6.8887286, '\n': -11.6523485, ' Yes': -12.430782, ' Nope': -12.977599}
{' Yes': -0.0011713328, 'Yes': -7.4108644, ' No': -7.6756477, ' Hello': -9.643159, ' yes': -11.192509}
{' Yes': -0.0014152542, ' No': -6.8361464, 'Yes': -8.076612, ' yes': -11.455184, ' YES': -12.485397}
{' No': -0.0017745873, 'No': -6.3845544, ' Nope': -9.533053, ' Yes': -12.063324, '\n': -12.406438}
{' No': -0.0010274677, 'No': -6.899781, ' Nope': -11.693207, ' Yes': -11.920598, '\n': -12.867927}
{' Yes': -0.009604976, ' No': -5.045278, 'Yes': -6.423183, ' Sure': -7.1846857, ' Pur': -8.468868}
{' Yes': -0.070771456, ' No': -2.8068533, ' Nope': -5.9168386, 'Yes': -6.180686, ' Sure': -6.311592}
