{' Yes': -0.0030951896, 'Yes': -5.8984904, ' No': -8.919969, ' yes': -9.2945795, ' A': -9.588872}
{' No': -0.23746668, ' Yes': -2.0852222, 'No': -3.0167463, '\n': -3.6964545, ' ': -4.983129}
{' No': -0.33094326, ' Yes': -1.5539714, 'No': -3.1072361, '\n': -4.2950544, 'Yes': -4.983865}
{' No': -1.138877, ' Yes': -1.1463042, '\n': -1.2384446, ' ': -3.4643695, 'No': -4.064887}
{' No': -0.4201277, '\n': -1.4061432, 'No': -3.2174087, ' Yes': -3.4794405, ' ': -4.0544777}
{'\n': -0.9154134, ' Yes': -1.1860796, ' No': -1.4785333, ' ': -3.635481, 'No': -4.1686425}
{' No': -0.6136013, '\n': -1.0215986, 'No': -2.95977, ' Yes': -3.7530036, ' ': -4.0700793}
{' Yes': -0.03327631, ' No': -3.899552, 'Yes': -5.326674, ' ': -5.924307, '\n': -6.130936}
{' Yes': -0.20533106, ' No': -1.780183, ' ': -5.5770407, 'Yes': -5.577843, ' A': -5.6126065}
{' No': -0.5863266, ' Yes': -0.87574387, 'No': -4.4991627, '\n': -5.0351963, 'Yes': -5.544828}
{' No': -0.6067022, ' Yes': -0.84803337, 'No': -4.3083053, 'Yes': -5.289668, '\n': -5.3625574}
{' No': -0.3943417, '\n': -1.8525728, 'No': -2.0239096, ' ': -4.2080336, ' Yes': -4.3728895}
{' No': -0.30767095, 'No': -1.8127807, '\n': -2.4046938, ' ': -4.902832, ' A': -6.6246247}
{' No': -0.48833862, '\n': -1.7467653, ' Yes': -2.428879, 'No': -2.4821472, ' ': -3.917324}
{' No': -0.27682418, '\n': -2.1698523, 'No': -2.1770086, ' ': -4.65349, ' no': -6.7003465}
{' Yes': -0.12533446, ' yes': -2.37765, 'Yes': -4.347197, '\n': -5.179876, ' ': -6.0207777}
{' Yes': -0.108517826, ' yes': -2.8362265, 'Yes': -4.345498, ' No': -4.3962564, '\n': -4.4749403}
{' Yes': -0.5104881, ' No': -1.379665, ' yes': -3.0805717, '\n': -3.117511, 'Yes': -3.8794894}
{' No': -0.4694, ' Yes': -1.1662709, 'No': -4.0292354, '\n': -4.1122313, ' yes': -4.900516}
{' Yes': -0.025172899, '\n': -4.472423, ' No': -4.977264, ' ': -5.807856, 'Yes': -5.897033}
{' Yes': -0.12049854, ' No': -2.5066051, '\n': -3.9067152, ' A': -5.3538876, ' ': -5.4916935}
{' Yes': -0.58696723, ' No': -0.979286, '\n': -2.9610991, ' ': -4.4782615, 'No': -6.2074785}
{' No': -0.07221635, ' Yes': -3.4577122, '\n': -3.5759776, 'No': -5.2376328, ' ': -5.574501}
{' No': -0.614352, '\n': -1.5830542, ' Yes': -1.5920419, ' ': -3.634314, 'No': -4.0804753}
{' No': -0.49728647, '\n': -1.4589907, ' Yes': -2.1623921, ' ': -3.9025464, 'No': -4.095097}
{' No': -0.5053702, '\n': -1.2200155, ' Yes': -3.1275184, ' ': -3.5557013, 'No': -3.7282307}
{' No': -0.42737338, '\n': -1.2526067, 'No': -3.8366518, ' Yes': -3.8895638, ' ': -4.047725}
{' No': -0.47140533, '\n': -1.5108702, ' Yes': -2.285248, ' ': -3.6176226, 'No': -4.1587925}
{' No': -0.25837865, '\n': -1.7749076, 'No': -3.727504, ' ': -4.175693, ' Yes': -4.6809077}
{' No': -0.36418903, '\n': -1.4812622, ' ': -3.5670812, ' Yes': -4.0035224, 'No': -4.1683407}
{' No': -0.30237043, '\n': -1.5423778, ' ': -3.9107058, 'No': -4.0002728, ' Tigers': -5.255856}
{' Yes': -0.73070794, ' No': -0.89321405, '\n': -2.7274253, ' ': -3.38082, ' A': -5.5434084}
{' No': -0.3067766, ' Yes': -1.73762, '\n': -3.0688574, ' ': -3.8694978, ' A': -4.1347547}
{' No': -0.7321612, ' Yes': -1.1861808, '\n': -1.860459, ' ': -3.1661134, 'No': -4.837784}
{' No': -0.4594214, ' Yes': -1.7137091, '\n': -1.9591638, ' ': -3.702946, 'No': -4.582279}
{' No': -0.27842847, ' Yes': -2.227094, '\n': -2.4491131, 'No': -3.8281224, ' ': -4.056346}
{' No': -0.0513495, 'No': -3.6341245, '\n': -4.1299014, ' ': -5.5280375, ' A': -5.7877936}
{' No': -0.0963135, '\n': -3.0045967, 'No': -3.8319833, ' ': -4.311443, ' Yes': -5.719293}
{' No': -0.067074165, '\n': -3.5545924, 'No': -3.6303523, ' ': -4.9033074, ' Tigers': -6.5280757}
{' Yes': -0.18413381, ' No': -2.6007063, '\n': -3.075907, ' ': -3.7415752, 'Yes': -4.4106064}
{' Yes': -0.36846316, ' No': -1.884811, '\n': -2.358684, ' ': -3.596519, ' A': -4.0918384}
{' Yes': -0.11084879, '\n': -3.4509082, ' No': -3.4803746, ' ': -4.045341, 'Yes': -4.1074977}
{' No': -0.28474662, ' Yes': -1.9659181, '\n': -2.9137785, 'No': -3.8301318, ' ': -4.261248}
{' No': -0.1656296, ' Yes': -1.9983398, 'No': -4.6809363, ' Generally': -5.7706995, ' A': -5.8851366}
{' No': -0.3452095, ' Yes': -1.3285353, ' A': -4.6871705, 'No': -4.8509183, ' Generally': -5.155134}
{' No': -0.070803635, ' Tigers': -3.5517225, ' Yes': -3.6664076, 'No': -4.5251036, ' Generally': -6.226673}
{' No': -0.101215236, ' Tigers': -2.5703332, 'No': -4.5730186, ' Yes': -5.2454033, ' Generally': -6.2680416}
{' No': -0.17370218, ' Yes': -2.2828178, 'No': -3.1460686, ' Generally': -5.1813164, ' A': -5.60933}
{' No': -0.057342116, 'No': -3.0912032, ' Yes': -5.4605174, ' Generally': -5.991398, ' A': -6.5940614}
{' No': -0.540376, ' Yes': -1.271623, ' Tigers': -2.8175573, 'No': -3.153251, ' Generally': -4.090694}
{' No': -0.16013089, 'No': -2.8565133, ' Tigers': -2.874385, ' Yes': -3.9221795, ' Generally': -5.043094}
{' No': -0.26915255, ' Yes': -1.792285, 'No': -3.100896, '\n': -4.588832, 'Yes': -5.251536}
{' No': -0.079450496, 'No': -2.8899343, ' Yes': -4.949846, '\n': -5.008926, ' ': -6.010505}
{' No': -0.19159187, ' Yes': -2.9545388, 'No': -3.0660539, ' Tigers': -3.1453004, '\n': -4.0255113}
{' No': -0.124183394, ' Tigers': -3.080654, 'No': -3.1442678, ' Yes': -4.61853, '\n': -4.6342025}
{' No': -0.052750472, 'No': -3.6294982, ' Yes': -3.9535093, ' A': -5.8238716, ' Generally': -6.434113}
{' No': -0.07643393, 'No': -3.4153163, ' Yes': -3.693204, ' A': -4.5636396, ' Generally': -5.9527917}
{' No': -0.12875997, ' Tigers': -2.7366757, 'No': -3.2405035, ' Yes': -4.3343697, ' Generally': -6.365982}
{' No': -0.097658716, ' Tigers': -2.913628, 'No': -3.3493466, ' Generally': -6.622614, ' Yes': -7.017557}
{' No': -0.31042564, ' Yes': -1.9375485, 'No': -2.5327826, ' A': -4.525759, 'Yes': -4.9162717}
{' No': -0.18767184, 'No': -2.3121169, ' Yes': -3.8447056, ' A': -4.2907734, '\n': -4.4970036}
{' No': -0.8800404, ' Yes': -1.1848272, ' Tigers': -2.0283692, 'No': -2.9292746, '\n': -3.2986996}
{' No': -0.33836764, ' Tigers': -2.0831966, 'No': -2.3370898, ' Yes': -3.7398796, '\n': -4.256093}
{' Yes': -0.057814382, 'Yes': -3.7250104, ' No': -4.042466, ' A': -5.5223145, ' Generally': -5.5328927}
{' No': -0.17701282, 'No': -2.695329, ' Yes': -2.9170334, ' A': -4.201402, ' Generally': -4.6458254}
{' Yes': -0.9072497, ' No': -0.9568999, ' Tigers': -2.0678294, 'No': -3.223078, 'Yes': -4.137589}
{' No': -0.33726808, ' Tigers': -2.160518, ' Yes': -2.3300066, 'No': -2.9495232, ' Generally': -5.1146054}
{' No': -0.08973103, ' Yes': -2.565107, 'No': -5.599069, '\n': -6.1876707, ' A': -6.5184336}
{' No': -0.11359816, ' Yes': -2.344395, ' A': -5.3396497, 'No': -5.558752, '\n': -6.636226}
{' Yes': -0.22783329, ' No': -1.6886905, ' Tigers': -4.9237714, '\n': -5.178862, 'Yes': -5.911209}
{' Yes': -0.5863656, ' No': -0.90665907, ' Tigers': -3.7877567, '\n': -4.7879643, 'No': -5.9105554}
{' No': -0.08424243, 'No': -3.1017787, '\n': -4.444878, ' Yes': -4.5525074, ' A': -4.899843}
{' No': -0.06163539, 'No': -3.2301304, '\n': -4.954576, ' A': -4.9620757, ' Yes': -5.9411135}
{' No': -0.093363404, 'No': -3.2715151, ' Yes': -3.9984918, ' Tigers': -4.247294, '\n': -4.503369}
{' No': -0.110177375, 'No': -3.1310265, ' Yes': -3.807063, ' Tigers': -3.9040806, '\n': -4.7328677}
{' No': -0.42656118, '\n': -1.4843938, ' Yes': -3.0214326, 'No': -3.4313312, ' ': -3.9235168}
{' No': -0.3572313, '\n': -1.5883542, 'No': -3.1487236, ' Yes': -4.0297623, ' A': -4.08263}
{' No': -0.7419365, '\n': -0.9053791, ' ': -3.3568063, ' Tigers': -3.521035, ' Yes': -3.554255}
{'\n': -0.7898738, ' No': -0.87284535, ' Tigers': -3.1721463, ' Yes': -3.4757562, ' ': -3.617827}
{' No': -0.012243197, 'No': -4.6153083, ' ': -6.918258, ' A': -7.714849, '\n': -7.8190994}
{' No': -0.011282277, 'No': -4.870186, ' A': -6.342359, ' ': -7.2568645, ' Yes': -7.322571}
{' No': -0.071707465, ' Yes': -3.6073558, ' Tigers': -3.7396073, 'No': -4.2527337, ' ': -6.3054814}
{' No': -0.050983068, ' Tigers': -3.8581593, 'No': -3.8761954, ' Yes': -5.247951, ' ': -7.1648726}
{' No': -0.20311357, 'No': -2.141609, '\n': -3.1536427, ' ': -4.235242, ' A': -5.198123}
{' No': -0.21011317, 'No': -2.1698928, '\n': -3.2167757, ' A': -4.2349467, ' ': -4.527429}
{' No': -0.50930566, '\n': -2.1438196, ' Yes': -2.225002, 'No': -2.425407, ' Tigers': -3.293762}
{' No': -0.5394638, '\n': -2.0568664, ' Yes': -2.1169386, 'No': -2.4183798, ' Tigers': -3.2950583}
{' No': -0.12549035, ' Yes': -2.8185635, 'No': -3.521799, ' A': -4.3475056, ' ': -5.030798}
{' No': -0.07173148, 'No': -3.4861772, ' Yes': -4.132019, ' A': -4.318563, '\n': -5.625091}
{' No': -0.27147108, ' Yes': -2.049156, 'No': -3.2399483, ' Tigers': -3.5224972, '\n': -4.1565113}
{' No': -0.32969415, ' Yes': -2.1028035, ' Tigers': -2.4063618, 'No': -3.449233, '\n': -4.5713587}
{' Yes': -0.3147688, ' No': -1.5901822, 'Yes': -3.5763426, 'No': -3.8544073, ' A': -4.586446}
{' No': -0.209397, 'No': -2.4494045, ' Yes': -2.6805253, ' A': -3.9374223, ' Generally': -5.416699}
{' No': -0.2797639, 'No': -2.2137506, ' Yes': -2.8073497, ' Tigers': -2.9190288, 'Yes': -5.436449}
{' No': -0.21146047, 'No': -2.1584535, ' Tigers': -3.023598, ' Yes': -4.7059307, '\n': -5.161869}
{' No': -0.19002272, 'No': -1.8720467, ' Yes': -4.125304, 'Yes': -6.6648526, '\n': -7.5727396}
{' No': -0.12439329, 'No': -2.1545331, ' Yes': -7.9460673, ' ': -7.994081, '\n': -9.36466}
{' No': -0.5450636, ' Yes': -1.2123113, 'No': -2.3921876, 'Yes': -4.072863, ' Tigers': -4.824698}
{' No': -0.14425135, 'No': -2.177918, ' Yes': -4.6350865, ' Tigers': -4.8459973, ' Generally': -6.7306685}
{' No': -0.38781133, ' Yes': -1.5828911, 'No': -2.3188853, 'Yes': -4.3280063, ' ': -6.2976236}
{' No': -0.16366005, 'No': -1.9543723, ' Yes': -5.1852565, '\n': -6.4824123, ' ': -6.860418}
{' Yes': -0.7834301, ' No': -1.0050983, 'No': -2.2968085, 'Yes': -3.090641, ' Tigers': -3.858154}
{' No': -0.3355476, 'No': -1.5739127, ' Yes': -3.032151, ' Tigers': -4.3565226, 'Yes': -4.9792643}
{' No': -0.036885515, 'No': -3.7765725, ' Yes': -4.405566, ' ': -7.752131, 'Yes': -8.474721}
{' No': -0.030675385, 'No': -3.6294932, ' Yes': -6.0670743, ' A': -7.358852, ' ': -7.706245}
{' No': -0.08699455, 'No': -2.5880208, ' Tigers': -5.7143846, ' Yes': -5.728672, ' Generally': -7.577739}
{' No': -0.07749589, 'No': -2.6854289, ' Tigers': -5.5366063, ' Yes': -6.6359005, ' Generally': -7.705321}
{' No': -0.5330126, 'No': -1.1360838, ' Yes': -2.780653, 'Yes': -4.337858, ' A': -5.4724045}
{' No': -0.4659893, 'No': -1.0614482, '\n': -4.8006334, ' Tigers': -4.9197607, ' A': -5.45975}
{' Yes': -0.7045836, ' No': -1.8320975, ' Tigers': -2.1642034, 'Yes': -2.2267756, 'No': -2.421455}
{' No': -0.74745876, 'No': -1.328439, ' Tigers': -1.6648208, ' Yes': -3.4769144, 'Yes': -4.723223}
{' No': -0.25109953, 'No': -1.9452639, ' Tiger': -3.4155834, ' Yes': -3.7591865, '\n': -4.6171713}
{' No': -0.21283643, 'No': -1.7299874, '\n': -5.0496435, ' Tiger': -5.650558, ' ': -6.486532}
{' No': -0.5079057, 'No': -1.6494671, ' Yes': -2.0030513, ' Tigers': -3.055679, 'Yes': -4.235948}
{' No': -0.23984079, 'No': -1.664798, ' Tigers': -4.485814, ' Yes': -4.947177, '\n': -6.5946636}
{' No': -0.37138775, ' Yes': -1.2029307, ' ': -5.8329334, ' yes': -5.9815445, 'No': -6.1665673}
{' No': -0.17999639, ' Yes': -1.9027194, ' A': -5.2407107, ' ': -5.5089455, 'No': -5.7379985}
{' Yes': -0.031315945, ' No': -3.7542183, 'Yes': -6.0588036, ' yes': -6.208168, ' Tigers': -6.5294313}
{' Yes': -0.1712662, ' No': -1.9404789, ' Tigers': -4.904224, 'Yes': -6.0528197, ' yes': -6.719217}
{' No': -0.2573511, ' Yes': -2.085274, 'No': -2.6216376, '\n': -4.301298, 'Yes': -5.2633324}
{' No': -0.11310753, 'No': -2.4528978, '\n': -4.4775486, ' Yes': -5.536257, ' ': -6.083057}
{' No': -0.5215104, ' Yes': -1.2301114, 'No': -2.6677127, '\n': -3.9951506, 'Yes': -4.275174}
{' No': -0.17673053, 'No': -2.3714612, ' Yes': -3.0522168, '\n': -4.4759345, ' Tigers': -5.8241205}
{' No': -0.7916977, '\n': -1.4581559, ' Yes': -1.4668208, 'No': -3.3487751, ' ': -4.049346}
{' No': -0.32011816, '\n': -1.7001745, 'No': -2.6395648, ' ': -4.832091, ' A': -5.0940113}
{' Yes': -0.65802115, '\n': -1.6483203, ' No': -1.7762899, ' Tigers': -3.0696917, 'Yes': -3.518052}
{'\n': -0.87016815, ' No': -0.94733757, ' Yes': -2.614017, 'No': -2.9608357, ' Tigers': -3.1851668}
{' No': -0.12183188, ' Yes': -2.4783287, 'No': -4.158216, ' A': -5.2068706, '\n': -5.357412}
{' No': -0.06126067, ' Yes': -3.378565, 'No': -4.335335, ' A': -5.174111, '\n': -5.5967484}
{' No': -0.097480446, 'No': -3.3127172, ' Yes': -3.6061666, ' Tigers': -4.098644, '\n': -4.782233}
{' No': -0.18437566, ' Yes': -2.444866, 'No': -3.3240352, ' Tigers': -3.409374, '\n': -5.045624}
{' No': -0.40278816, 'No': -1.8544198, '\n': -2.0204144, ' Yes': -3.9580324, ' ': -4.356492}
{' No': -0.37334487, 'No': -1.6673589, '\n': -2.2357163, ' ': -4.8431306, ' A': -5.5683804}
{' No': -0.42107296, '\n': -1.8724586, 'No': -2.12181, ' Yes': -3.3260972, ' ': -4.1075597}
{' No': -0.56025904, '\n': -1.3756658, 'No': -2.0224857, ' ': -4.0681763, ' Yes': -4.1864195}
{' Yes': -0.1054704, ' yes': -3.0283196, 'Yes': -3.940618, ' No': -4.3039155, '\n': -4.731913}
{' No': -0.4993844, ' Yes': -1.2028166, ' A': -3.731669, 'No': -3.8738227, '\n': -4.063317}
{' Yes': -0.49534053, ' No': -1.4932425, '\n': -2.767073, ' yes': -3.6221695, 'Yes': -3.632806}
{' Yes': -0.12590034, ' No': -3.5495627, 'Yes': -3.6710033, ' yes': -3.9215848, ' Tigers': -4.0720577}
{' No': -0.047116317, '\n': -3.8775568, ' Yes': -4.4012384, 'No': -5.1418943, ' ': -5.478741}
{' No': -0.03909005, '\n': -4.439086, ' A': -4.6713605, ' Yes': -4.6791997, 'No': -5.3579626}
{' No': -0.21130349, ' Yes': -2.262098, '\n': -3.1824126, ' Tigers': -3.7323337, 'No': -4.6516013}
{' No': -0.07302474, '\n': -3.4332995, ' Tigers': -4.109714, 'No': -4.6031947, ' Yes': -5.239471}
{' No': -0.21856427, '\n': -1.9815077, 'No': -3.3166974, ' ': -4.301936, ' Yes': -5.4578047}
{' No': -0.14242823, '\n': -2.4070177, 'No': -3.5469728, ' ': -4.8309355, ' A': -5.433434}
{' No': -0.5697198, '\n': -1.0253301, 'No': -3.5326028, ' ': -3.5693765, ' Tigers': -4.4997354}
{' No': -0.22897422, '\n': -1.8917377, 'No': -3.367522, ' ': -4.5150476, ' Tigers': -5.031218}
{' No': -0.21452533, '\n': -2.1296139, 'No': -3.507761, ' ': -4.077286, ' Yes': -4.176199}
{' No': -0.26915506, '\n': -1.7752186, 'No': -3.497699, ' ': -4.2133594, ' A': -4.3196254}
{' No': -0.4132873, '\n': -1.546611, ' Tigers': -2.844674, ' ': -3.4499848, 'No': -3.976207}
{' No': -0.41487727, '\n': -1.4201474, ' Tigers': -3.0427494, ' ': -3.7284167, 'No': -3.9706135}
{' No': -0.06683669, '\n': -3.5597968, ' ': -4.3544664, 'No': -4.3590174, ' A': -5.225017}
{' No': -0.05689349, '\n': -3.8280594, ' A': -4.455989, 'No': -4.6253176, ' ': -4.8057103}
{' No': -0.23071499, '\n': -2.161522, ' Tigers': -3.2426412, ' ': -3.7737486, 'No': -3.8807566}
{' No': -0.11501894, '\n': -2.9385836, ' Tigers': -3.7603629, 'No': -3.8362732, ' ': -4.6902847}
{' No': -0.091403306, 'No': -3.4427636, '\n': -3.4597654, ' Yes': -4.797406, ' ': -4.8863783}
{' No': -0.06648888, 'No': -3.6441216, ' A': -4.098494, '\n': -4.198956, ' ': -5.5768113}
{' No': -0.16392328, '\n': -2.9481065, ' Tigers': -3.201355, 'No': -3.6263752, ' ': -4.08156}
{' No': -0.12370052, '\n': -3.012664, 'No': -3.6088116, ' Tigers': -3.7871509, ' ': -4.353242}
{' No': -0.59242964, ' Yes': -1.22158, '\n': -2.829576, ' A': -3.3254197, ' ': -3.596416}
{' No': -0.18143289, '\n': -3.0159206, ' Yes': -3.1375313, ' A': -3.5834312, 'No': -3.6912858}
{' Yes': -0.88494134, ' No': -0.9008258, '\n': -2.8309631, ' Tigers': -2.8749106, ' ': -3.5621471}
{' No': -0.43180376, ' Tigers': -2.101615, ' Yes': -2.3340921, '\n': -2.6250565, 'No': -3.5852935}
{' No': -0.091743305, ' Yes': -2.5367162, 'No': -4.9145503, 'Yes': -7.8476825, ' ': -8.24055}
{' No': -0.032109775, ' Yes': -3.814233, 'No': -4.7568865, ' ': -8.11365, '\n': -8.342675}
{' No': -0.042422466, ' Yes': -3.5351498, 'No': -4.521117, '\n': -7.6299543, ' Generally': -7.961713}
{' No': -0.08485416, ' Yes': -2.7697144, 'No': -4.1033363, 'Yes': -7.278787, '\n': -7.5076313}
{' Yes': -0.21173336, ' No': -1.7649655, 'Yes': -4.568541, 'No': -5.2124677, ' ': -6.262637}
{' No': -0.17943352, ' Yes': -2.1231306, 'No': -3.2372794, 'Yes': -5.98455, ' ': -6.1862464}
{' No': -0.06450233, 'No': -2.9713356, ' Yes': -4.931659, ' Generally': -6.5884657, ' ': -6.767124}
{' No': -0.08267302, 'No': -2.936713, ' Yes': -3.9182746, ' Generally': -6.0410523, ' ': -6.599213}
{' No': -0.04343372, 'No': -3.57553, '\n': -4.7802324, ' ': -5.655584, ' Yes': -6.1774855}
{' No': -0.046363346, 'No': -3.339494, '\n': -5.146196, ' ': -5.6988997, ' Yes': -7.9362917}
{' No': -0.07995818, 'No': -3.093895, '\n': -4.1904564, ' Yes': -4.9541836, ' ': -5.004059}
{' No': -0.071701065, 'No': -3.154205, ' Yes': -4.576351, '\n': -4.6639633, ' ': -5.434948}
{' Yes': -0.3396348, ' No': -1.2691487, 'Yes': -5.824084, 'No': -6.0777273, ' ': -7.236195}
{' No': -0.030324815, 'No': -4.115635, ' Yes': -4.3420906, ' ': -8.612122, ' A': -8.718789}
{' No': -0.022290748, 'No': -3.8765388, ' Yes': -7.2394304, ' ': -8.17732, '\n': -8.50415}
{' No': -0.049216706, 'No': -3.0903084, ' Yes': -6.2110944, ' ': -8.807105, ' Generally': -8.874851}
{' No': -0.0722642, 'No': -3.013863, '\n': -4.317429, ' ': -5.232175, ' Yes': -7.579557}
{' No': -0.09854216, 'No': -2.4680622, '\n': -5.2847414, ' ': -5.665114, '  ': -9.245584}
{' No': -0.15210414, 'No': -2.368323, '\n': -3.6741261, ' ': -4.693974, ' Yes': -5.7337584}
{' No': -0.09431231, 'No': -2.7324803, ' Yes': -4.7468276, ' ': -5.4663672, '\n': -5.5836916}
{' No': -0.04376059, 'No': -3.2576046, ' ': -6.1897445, '\n': -6.711203, ' Yes': -7.9470544}
{' No': -0.07212415, 'No': -2.6895633, ' ': -6.91612, '\n': -8.178349, ' Yes': -8.973275}
{' No': -0.11733321, 'No': -2.4040039, ' Yes': -4.782532, ' ': -5.3300366, '\n': -5.9910154}
{' No': -0.108441494, 'No': -2.3335047, ' ': -6.16318, ' Yes': -6.7722354, '\n': -6.9787817}
{' No': -0.010303368, 'No': -5.5086646, ' Yes': -5.5532737, ' ': -6.6719546, '\n': -7.0872493}
{' No': -0.008056726, 'No': -5.639984, ' Yes': -5.862084, ' ': -7.167898, '\n': -7.275293}
{' No': -0.0074625425, 'No': -5.6266966, ' Yes': -6.2079096, '\n': -6.74985, ' ': -7.4453955}
{' No': -0.011215908, ' Yes': -5.330546, 'No': -5.4626737, '\n': -6.6204324, ' ': -7.348656}
{' No': -0.0652064, 'No': -3.4322412, '\n': -3.7084825, ' ': -5.182346, ' A': -8.416173}
{' No': -0.04505679, 'No': -3.7375844, '\n': -4.1400084, ' ': -5.527471, ' A': -9.048417}
{' No': -0.044826552, 'No': -3.471264, '\n': -4.7298527, ' ': -5.668569, ' NO': -9.239526}
{' No': -0.048590645, 'No': -3.3132522, '\n': -5.2514844, ' ': -5.9166207, ' Yes': -6.027069}
{' No': -0.32336068, '\n': -1.5322934, 'No': -3.339529, ' ': -3.7814715, ' A': -7.5202017}
{' No': -0.2689946, '\n': -1.7152321, 'No': -3.2896378, ' ': -4.0488424, ' A': -7.95617}
{' No': -0.68332493, '\n': -0.820738, ' ': -3.4414465, 'No': -3.8974266, '  ': -7.6208973}
{' No': -0.672848, '\n': -0.8473951, 'No': -3.5241735, ' ': -3.5342908, ' Yes': -7.19976}
{' No': -0.0062937327, 'No': -5.4693537, ' ': -6.7124867, '\n': -7.686038, ' Yes': -8.562703}
{' No': -0.005849133, 'No': -5.3781443, ' ': -7.261061, '\n': -7.768338, ' A': -10.356489}
{' No': -0.008910258, 'No': -4.9497347, ' ': -7.0386972, '\n': -7.114234, ' Yes': -10.392579}
{' No': -0.009432814, 'No': -4.739869, ' ': -8.047397, '\n': -8.555514, ' Yes': -9.326588}
{' No': -0.18942548, 'No': -2.4749289, '\n': -2.6598384, ' ': -4.1774015, ' NO': -7.059795}
{' No': -0.22124945, 'No': -2.2452552, '\n': -2.5838592, ' ': -4.148095, ' A': -8.086102}
{' No': -0.20277579, 'No': -2.4174592, '\n': -2.5409772, ' ': -4.367028, ' NO': -7.0305295}
{' No': -0.1545248, 'No': -2.385909, '\n': -3.2151687, ' ': -4.6628633, ' NO': -7.988307}
{' No': -0.037075642, 'No': -4.0552716, '\n': -4.877667, ' ': -4.921002, ' Yes': -6.26514}
{' No': -0.03227788, 'No': -3.973684, ' ': -5.2410274, '\n': -5.410814, ' Yes': -6.125171}
{' No': -0.08875957, 'No': -3.208264, ' Yes': -4.114419, '\n': -4.2617064, ' ': -4.5030336}
{' No': -0.05129435, 'No': -3.291231, ' ': -5.3746004, '\n': -5.5022635, ' Yes': -6.037434}
{' No': -0.06242262, 'No': -2.8676915, ' Yes': -6.5181594, ' ': -7.285155, ' A': -7.5703063}
{' No': -0.11150314, 'No': -2.2798991, ' A': -6.8520436, ' ': -7.4438367, ' Yes': -7.6076813}
{' No': -0.18450382, 'No': -1.871586, ' Yes': -5.3683844, '\n': -5.7027483, ' ': -6.092034}
{' No': -0.19850422, 'No': -1.791104, ' Yes': -5.73896, '\n': -5.7666, ' ': -6.0188074}
{' No': -0.11392461, 'No': -2.2438912, ' ': -7.3699613, ' Yes': -7.633637, '\n': -8.235659}
{' No': -0.12396908, 'No': -2.1546125, ' ': -7.8615365, '\n': -9.206678, ' no': -10.02191}
{' No': -0.13964778, 'No': -2.0514042, ' ': -7.4743876, ' Yes': -7.481764, '\n': -8.256987}
{' No': -0.17944016, 'No': -1.8241985, ' Yes': -6.2637906, ' ': -8.25511, 'Yes': -8.422865}
{' No': -0.08280045, 'No': -2.6067758, ' Yes': -5.907774, ' ': -6.5057583, '\n': -7.0652504}
{' No': -0.101273276, 'No': -2.386254, '\n': -6.2859516, ' ': -6.6299653, ' Yes': -7.109913}
{' No': -0.20137121, 'No': -1.7541512, ' Yes': -5.472638, '\n': -6.278531, ' ': -6.302514}
{' No': -0.21686503, 'No': -1.7002711, ' Yes': -4.7116523, 'Yes': -6.7381444, ' ': -7.0490146}
{' No': -0.012855523, 'No': -4.430872, ' ': -7.545406, ' Yes': -9.020067, ' no': -9.487467}
{' No': -0.017486123, 'No': -4.0727916, ' ': -8.4575815, ' Yes': -10.530208, ' no': -10.754003}
{' No': -0.04432287, 'No': -3.183584, ' Yes': -6.6832156, ' ': -7.8801017, '\xa0': -9.954612}
{' No': -0.065439284, 'No': -2.7788773, ' Yes': -7.096401, ' ': -8.434458, ' no': -10.165909}
{' No': -0.26504883, 'No': -1.4745024, '\n': -6.3697114, ' ': -6.639949, ' A': -8.45389}
{' No': -0.4489253, 'No': -1.032986, '\n': -5.457142, ' ': -6.774586, 'no': -9.364605}
{' No': -0.5183107, 'No': -0.9892618, '\n': -4.8341227, ' Yes': -5.193346, ' ': -5.2190704}
{' No': -0.47606638, 'No': -1.0039442, ' Yes': -6.08058, '\n': -6.292481, ' Wh': -6.5431533}
{' No': -0.11655053, 'No': -2.3620472, '\n': -4.422853, ' ': -6.147782, ' no': -7.442947}
{' No': -0.15788938, 'No': -1.9843243, '\n': -4.94102, ' ': -6.9324937, ' no': -8.385175}
