{' Yes': -0.04511578, ' Generally': -3.6469321, ' No': -4.4161234, 'Yes': -5.597255, ' Typically': -7.983192}
{' Yes': -0.80932, ' No': -0.9290329, ' It': -3.0013976, ' A': -3.5823278, ' Generally': -3.7086656}
{' No': -0.27913603, ' Yes': -2.1225255, 'No': -2.812839, ' Bears': -3.875541, ' Generally': -4.137523}
{' No': -0.20552517, ' Yes': -2.5656457, 'No': -2.8614545, ' Bears': -3.63192, ' Generally': -4.858151}
{' No': -0.558148, ' Yes': -2.3237786, 'No': -2.3296971, ' It': -2.595097, ' Generally': -2.6227672}
{' Yes': -0.1666457, ' It': -3.251557, ' Generally': -3.5453932, 'Yes': -3.8043315, ' No': -3.8885808}
{' Yes': -1.246781, ' No': -1.3108755, ' Bears': -2.1603322, ' It': -2.419989, ' Generally': -2.6986136}
{' Yes': -0.613296, ' No': -1.6179233, ' Bears': -2.4269364, 'No': -3.137231, ' Generally': -3.4673657}
{' No': -0.1414895, 'No': -2.039412, ' Yes': -7.7896905, ' Generally': -7.8413615, ' ': -7.9053593}
{' No': -0.40403706, ' Yes': -1.4596688, 'No': -2.478086, 'Yes': -5.010995, ' Generally': -5.3521457}
{' No': -0.71025324, ' Yes': -1.7858872, 'No': -1.8464342, ' Generally': -2.4051747, ' Bears': -3.1873288}
{' No': -0.6135837, ' Yes': -1.4453479, 'No': -1.9142656, ' Generally': -3.6184757, ' Bears': -3.7964773}
{' No': -0.23286791, 'No': -1.9087139, ' Yes': -3.2177825, ' It': -4.8329444, ' Generally': -5.329335}
{' Yes': -0.2422048, ' No': -2.0209332, 'Yes': -3.444628, 'No': -3.6194422, ' It': -4.648243}
{' No': -0.32358074, 'No': -1.7763395, ' Yes': -2.8252056, ' Bears': -3.9152725, ' Generally': -4.548332}
{' No': -0.6299689, ' Yes': -1.2830983, 'No': -1.9444258, 'Yes': -4.053957, ' Bears': -4.2875257}
{' No': -0.034466058, 'No': -3.6817403, ' Yes': -4.9323635, ' Bears': -7.9361286, ' ': -8.021748}
{' Yes': -0.027488746, ' No': -4.107982, 'Yes': -4.7959213, ' Generally': -6.918682, 'No': -7.7135825}
{' No': -0.5652707, ' Yes': -1.3868955, ' Bears': -2.4561226, 'No': -3.0525331, ' Generally': -3.3778317}
{' Yes': -0.6091056, ' No': -1.0092826, ' Bears': -3.490711, 'No': -3.5298686, ' Generally': -4.221172}
{' No': -0.7392928, 'No': -1.0144507, ' Bears': -2.399594, ' Generally': -3.8596046, ' It': -4.113896}
{' No': -1.2074646, 'No': -1.2953914, ' Yes': -1.8019279, ' It': -2.4893897, ' Bears': -3.0410826}
{' No': -0.91102123, 'No': -1.3572168, ' Bears': -1.732171, ' It': -3.0451314, ' Generally': -3.3101795}
{' Bears': -1.2698922, 'No': -1.3153479, ' No': -1.3428062, ' Yes': -2.7024329, ' Generally': -3.2179968}
{' No': -0.12793835, 'No': -2.4135675, ' Bears': -4.2059774, ' Yes': -5.0305166, ' Generally': -5.698846}
{' Yes': -0.6480449, ' No': -0.94648767, 'No': -2.9963074, 'Yes': -4.2438703, ' A': -5.171248}
{' No': -1.0572107, ' Yes': -1.0633411, ' Bears': -1.8247069, 'No': -2.5492475, ' Generally': -3.2827184}
{' Yes': -0.15643157, ' No': -3.1190495, 'Yes': -3.288893, ' Bears': -3.3591652, ' Generally': -4.5610886}
{' No': -0.66600955, ' Yes': -0.8070083, ' yes': -4.076427, ' ': -5.05296, 'No': -5.1060376}
{' Yes': -0.036523666, ' yes': -3.5353963, 'Yes': -5.605566, ' ': -6.9145894, ' No': -7.196001}
{' No': -0.2735287, ' Yes': -1.6411567, 'No': -4.41723, ' yes': -4.859102, ' no': -5.2118945}
{' Yes': -0.26659822, ' No': -1.6337646, ' yes': -3.7370799, 'Yes': -5.745577, ' ': -5.8467298}
{' No': -0.13225086, 'No': -2.317851, ' Generally': -5.12503, ' ': -5.4875712, ' It': -5.506646}
{' Yes': -0.771166, ' It': -1.4991286, ' No': -1.6484835, ' Generally': -3.6301959, 'No': -3.888568}
{' No': -0.23538613, 'No': -2.1273673, ' Yes': -3.5796967, ' It': -3.9855614, ' Generally': -4.226008}
{' No': -0.39663488, ' Yes': -1.9393824, 'No': -2.40777, ' It': -3.8334618, ' Generally': -3.870958}
{' No': -0.23083963, 'No': -1.7698983, '\n': -3.9554586, ' ': -5.294541, ' A': -5.480997}
{' Yes': -0.59798807, ' No': -1.3811836, '\n': -2.729576, 'No': -3.0083504, 'Yes': -3.4337196}
{' No': -0.32656872, 'No': -1.6503432, '\n': -2.9463289, ' Bears': -4.529207, ' ': -4.530796}
{' No': -0.8709067, ' Yes': -1.4021548, 'No': -2.1261578, '\n': -2.1264951, ' Bears': -3.0536535}
{' No': -0.06017749, 'No': -3.3599248, ' Yes': -4.0425134, ' ': -6.5016255, ' Generally': -6.810926}
{' Yes': -0.057791203, ' No': -3.7149394, ' It': -4.4659905, 'Yes': -4.7276726, ' yes': -5.6768327}
{' No': -0.09802964, 'No': -3.0050867, ' Yes': -3.6368248, ' Bears': -5.474845, ' Generally': -5.5008197}
{' Yes': -0.6188834, ' No': -0.97452945, ' Bears': -3.5469875, 'No': -3.7563114, ' Generally': -4.548809}
{' No': -0.42099094, 'No': -1.2098399, '\n': -3.606201, ' ': -4.92625, ' no': -5.094246}
{' No': -0.41838065, 'No': -1.34494, '\n': -3.3484116, ' Yes': -3.651331, ' ': -4.886144}
{' No': -0.35952854, 'No': -1.3082722, '\n': -4.280729, ' no': -5.1024, ' ': -5.171903}
{' No': -0.38127384, 'No': -1.278691, '\n': -3.7744803, ' ': -4.9007974, ' no': -5.7154937}
{' No': -0.16977489, 'No': -2.9282968, ' Yes': -3.450128, ' no': -3.4532506, ' ': -4.9494243}
{' Yes': -0.46342576, ' It': -1.8877878, ' yes': -2.4060087, ' No': -2.8628721, ' A': -4.6170044}
{' No': -0.48067343, ' Yes': -1.7100646, 'No': -2.6310964, ' no': -3.7723336, ' yes': -3.84002}
{' Yes': -0.3506951, ' No': -2.017258, ' yes': -2.7134593, ' Bears': -3.7951157, '\n': -4.115646}
{' Yes': -0.107075766, ' No': -2.6612673, ' Generally': -4.6533766, ' It': -5.2225695, '\n': -5.367379}
{' Yes': -0.01012067, 'Yes': -5.8426514, ' No': -6.1029167, ' Generally': -6.2672462, '\n': -6.9030857}
{' No': -0.6788369, ' Yes': -1.0067444, ' Generally': -3.1012075, '\n': -3.6609745, ' It': -3.9428804}
{' Yes': -0.31578824, ' No': -1.5200291, ' Generally': -4.027588, ' Bears': -4.6414165, '\n': -4.666368}
{' No': -0.17212711, 'No': -2.2632222, '\n': -4.0723877, ' Generally': -4.7885723, ' Yes': -4.8419285}
{' No': -0.2046297, 'No': -2.65764, ' Yes': -2.9897115, '\n': -3.985927, ' Generally': -4.2293887}
{' No': -0.37067416, 'No': -2.5163, '\n': -2.956461, ' Generally': -3.0770833, ' Yes': -3.1449947}
{' No': -0.40449685, ' Yes': -2.230163, 'No': -2.5286825, ' Bears': -2.8838763, '\n': -3.171758}
{' No': -0.20244235, 'No': -2.5124702, ' Yes': -3.3898582, '\n': -3.7644749, ' A': -4.3172083}
{' No': -0.6291089, ' Yes': -1.1164823, 'No': -3.1623385, '\n': -3.5236764, ' A': -3.6132948}
{' No': -0.2285843, 'No': -2.7092, '\n': -3.1219327, ' Bears': -3.3119335, ' ': -3.9950006}
{' No': -0.26486206, ' Bears': -2.6336362, 'No': -2.7490156, ' Yes': -2.923866, '\n': -3.7747838}
{' No': -0.12346002, ' Yes': -2.7293444, 'No': -3.6528902, '\n': -4.9329214, ' ': -4.973691}
{' No': -0.3437736, ' Yes': -1.4536998, 'No': -3.7994695, '\n': -4.539248, ' ': -4.7467637}
{' No': -0.25588873, ' Yes': -2.9323564, ' Generally': -3.1821086, 'No': -3.2676666, '\n': -3.3315322}
{' No': -0.3144149, ' Yes': -1.7795315, 'No': -3.3698976, '\n': -3.8730428, ' Bears': -3.964426}
{' No': -0.09629768, 'No': -2.5777218, ' ': -5.168706, '\n': -5.1992235, ' Yes': -6.5170064}
{' No': -0.0975771, 'No': -2.6438932, ' ': -4.9413824, '\n': -5.0994954, ' Yes': -5.530793}
{' No': -0.11202242, 'No': -2.55089, '\n': -4.5297985, ' ': -4.628921, ' Bears': -6.061636}
{' No': -0.120256856, 'No': -2.5140843, '\n': -4.5851464, ' ': -4.5962987, ' Bears': -4.794186}
{' No': -0.77227557, ' Yes': -0.8182103, 'No': -3.7726321, '\n': -4.1669574, ' ': -4.269034}
{' Yes': -0.81205404, ' No': -0.82525104, ' Generally': -3.7035203, ' A': -3.9321637, ' It': -4.1789117}
{' No': -0.5342639, ' Yes': -1.2930588, ' Generally': -3.4073489, 'No': -3.462578, ' Bears': -3.8177204}
{' Yes': -0.20661196, ' No': -2.061354, ' Bears': -3.9665468, 'Yes': -4.7147107, 'No': -5.0354886}
{' Yes': -0.08299147, ' Generally': -2.747607, 'Yes': -5.1647215, ' It': -6.2140093, ' On': -6.2350283}
{' Yes': -0.01654531, ' Generally': -4.47383, 'Yes': -5.5328526, ' A': -8.573754, ' It': -8.767111}
{' Yes': -0.5203205, ' Generally': -1.3227497, ' It': -3.339502, ' On': -3.3600538, ' Bears': -3.4725225}
{' Yes': -0.18238302, ' Generally': -2.1748145, ' Bears': -4.0417385, ' It': -4.4666142, 'Yes': -5.2180867}
{' Generally': -0.82546407, ' Yes': -1.179178, ' No': -2.444927, ' It': -2.8738592, ' Bears': -3.3266313}
{' Yes': -0.22468467, ' Generally': -2.0905695, ' It': -3.4219806, ' No': -4.2171545, 'Yes': -4.5092764}
{' Generally': -1.0859255, ' It': -1.168773, ' Bears': -2.4675667, ' No': -2.5568116, ' Yes': -2.683183}
{' No': -0.933421, ' Generally': -1.7856948, ' It': -1.8751248, ' Bears': -2.3910055, ' Yes': -2.852128}
{' Yes': -0.4837072, ' No': -1.880224, ' Generally': -2.3256662, ' It': -3.2506006, 'No': -3.8358078}
{' Yes': -0.024077065, 'Yes': -4.209809, ' Generally': -5.3873944, '\n': -6.9404416, ' A': -7.170567}
{' No': -1.1848565, ' It': -1.5781119, ' Bears': -1.8003274, ' Generally': -2.1761324, ' Yes': -2.9306984}
{' Yes': -0.3875251, ' Bears': -1.9600425, ' No': -2.9358895, ' Generally': -3.4499755, 'Yes': -3.6659448}
{' Yes': -0.83360666, ' Generally': -0.9858456, ' Bears': -2.7074661, ' No': -3.1950874, ' On': -3.3289738}
{' Yes': -0.08510361, ' Generally': -2.741426, 'Yes': -5.2737956, ' Bears': -5.8006773, ' A': -6.2530527}
{' Generally': -0.8670662, ' Yes': -1.5543773, ' Bears': -1.6174821, ' No': -2.9153068, ' On': -2.9474363}
{' Yes': -0.47760293, ' Generally': -1.842351, ' Bears': -1.9368944, ' No': -3.6135569, ' It': -4.2926836}
{' Yes': -0.70926356, ' No': -1.4752644, ' Generally': -1.9725311, ' Bears': -3.437245, 'No': -3.5223207}
{' Yes': -0.052472033, 'Yes': -3.6674087, ' Generally': -4.244366, '\n': -5.7945642, ' ': -6.0311136}
{' No': -0.9792696, ' Bears': -1.6919428, ' Generally': -2.3382878, ' Yes': -2.374642, ' It': -2.6702828}
{' Yes': -0.36911157, ' Bears': -2.367086, ' No': -2.6392455, 'Yes': -3.3426297, ' Generally': -3.4554975}
{' Yes': -0.35267794, ' Generally': -1.5943238, ' Bears': -3.2679763, 'Yes': -4.4399686, ' A': -4.6731877}
{' Yes': -0.055491682, ' Generally': -3.4727068, 'Yes': -4.255311, ' Bears': -6.489644, ' Typically': -6.716046}
{' Yes': -0.9096762, ' Bears': -1.3267676, ' Generally': -1.7850958, ' No': -2.5295436, 'No': -4.256952}
{' Yes': -0.09025493, ' Bears': -3.4406707, 'Yes': -3.6705124, ' Generally': -4.0485544, ' yes': -6.558337}
{' Yes': -0.026249193, ' No': -4.7639523, ' Generally': -4.931261, 'Yes': -5.43931, ' A': -6.0276775}
{' Yes': -0.0053131017, 'Yes': -5.6413755, ' Generally': -7.2078214, ' yes': -8.008516, ' ': -8.316041}
{' Yes': -0.21374854, ' Generally': -2.2545352, ' No': -3.226095, ' It': -4.7545652, ' Bears': -4.7986197}
{' Yes': -0.017358938, ' Generally': -5.186695, 'Yes': -5.3356876, ' Bears': -6.348449, ' No': -6.7336674}
{' No': -0.39292845, 'No': -2.4698327, ' Generally': -2.7166033, ' Yes': -2.9011414, ' A': -3.221519}
{' Yes': -0.18719457, ' Generally': -3.1938164, ' No': -3.2050507, ' A': -3.6830537, ' It': -3.896049}
{' No': -0.720202, ' Bears': -2.0139813, ' Generally': -2.0809522, ' Yes': -2.2087257, 'No': -2.8665588}
{' Yes': -0.26132372, ' No': -2.7102678, ' Bears': -2.794134, ' Generally': -3.1103666, 'Yes': -4.1609454}
{' No': -0.37770256, 'No': -2.0770588, '\n': -2.907329, ' Yes': -2.9527318, ' A': -3.0098665}
{' Yes': -0.07795812, 'Yes': -3.4044638, '\n': -3.6939151, ' A': -4.928893, ' ': -5.114394}
{' No': -0.4560811, 'No': -1.9873844, '\n': -2.028444, ' Bears': -3.1582007, ' ': -3.56356}
{' Yes': -0.52573544, '\n': -1.7459084, ' Bears': -2.4482703, ' No': -2.960777, 'Yes': -3.374395}
{' No': -0.25398606, ' Yes': -1.9617823, ' A': -3.5816782, 'No': -3.694454, ' Generally': -4.509588}
{' Yes': -0.012073296, 'Yes': -5.1527953, ' No': -5.9730773, ' A': -6.709701, ' ': -7.127889}
{' No': -0.16805306, ' Bears': -2.7997992, 'No': -3.4033437, ' Generally': -3.7619154, ' Yes': -4.0474033}
{' No': -0.60822916, ' Yes': -1.283318, ' Bears': -2.275309, ' It': -3.5776484, 'No': -3.8728414}
{' No': -0.52544034, 'No': -1.4445478, ' Yes': -2.5993176, ' A': -3.2351627, '\n': -3.6979887}
{' Yes': -0.14262778, 'Yes': -2.3899822, '\n': -4.5922213, ' ': -4.7514524, ' A': -4.8051434}
{' No': -0.41430542, 'No': -1.274451, '\n': -3.943236, ' Bears': -4.094239, ' ': -4.286507}
{' Yes': -0.58239853, ' No': -2.0163374, ' Bears': -2.0745118, 'Yes': -2.6907911, 'No': -2.8282292}
{' Yes': -0.059077967, ' A': -4.1449103, 'Yes': -4.293964, ' yes': -4.868056, ' Generally': -5.029432}
{' Yes': -0.028795041, 'Yes': -4.3217006, ' yes': -5.0988655, ' A': -5.728708, ' Generally': -6.283568}
{' Yes': -0.18218166, ' Bears': -2.6853306, ' No': -3.6975377, ' Generally': -3.858368, 'Yes': -3.984624}
{' Yes': -0.05528076, 'Yes': -4.088581, ' Bears': -4.1742854, ' yes': -4.811436, ' Generally': -5.557694}
{' Yes': -0.712346, ' No': -1.682437, ' Generally': -2.2992105, ' A': -2.6564302, ' Bears': -3.0299442}
{' Yes': -0.08357003, 'Yes': -3.4149983, ' Generally': -4.0605025, ' A': -4.7674384, ' yes': -4.9156413}
{' Yes': -0.799973, ' Bears': -1.6001886, ' Generally': -2.394256, ' No': -2.412622, ' It': -3.1655278}
{' Yes': -0.8670222, ' Bears': -1.6655128, ' No': -1.7302539, ' It': -3.0563962, ' Generally': -3.208286}
{' No': -0.28966373, 'No': -1.7937167, ' Yes': -2.976576, ' Generally': -4.184765, ' It': -5.3692074}
{' Yes': -0.11540198, ' No': -3.016601, 'Yes': -3.1636274, 'No': -4.619512, ' Generally': -5.898996}
{' Yes': -0.9768193, ' No': -1.6549294, ' Generally': -1.6684276, ' It': -2.7373629, ' Bears': -2.785352}
{' No': -0.61486125, ' Yes': -1.7710847, 'No': -2.0857875, ' Generally': -2.9243531, ' Bears': -3.1459107}
{' Yes': -0.5843804, ' No': -1.1498845, 'No': -2.6054013, 'Yes': -3.5511312, ' Generally': -4.624837}
{' Yes': -0.048614487, 'Yes': -3.1132562, ' yes': -7.172849, ' Generally': -7.4620357, ' ': -7.5437655}
{' Yes': -0.7142287, ' No': -1.3220149, ' Bears': -2.4341497, 'No': -2.6948805, 'Yes': -3.5903254}
{' Yes': -0.30256656, ' No': -2.204424, 'Yes': -2.9506624, 'No': -3.3331928, ' Bears': -3.4291475}
{' No': -0.078047685, 'No': -3.1907012, ' Yes': -4.4420424, ' Generally': -4.6705904, ' Bears': -4.935815}
{' Yes': -0.022280812, 'Yes': -4.665679, ' No': -4.8648634, ' Generally': -5.884051, ' A': -7.193026}
{' No': -1.0120851, ' Bears': -1.3161259, ' Yes': -1.4753344, ' Generally': -2.484911, 'No': -3.4784298}
{' Yes': -0.49994448, ' No': -1.4423692, ' Bears': -2.5640314, ' Generally': -3.4389262, 'No': -3.8568416}
{'No': -0.85715866, ' No': -1.0203667, ' Bears': -1.9526443, ' Generally': -3.291025, ' It': -5.0841236}
{' Yes': -0.2306554, 'Yes': -1.9067284, ' Generally': -3.8146908, ' Bears': -4.6342063, '\n': -5.2623916}
{' Bears': -1.1341571, ' No': -1.5957412, 'No': -1.8302611, ' Yes': -2.1802194, ' Generally': -2.4509735}
{' Bears': -0.7649541, ' Yes': -1.8660303, ' No': -2.2107377, 'No': -2.2202878, ' Generally': -2.894749}
{' Yes': -0.73683107, ' No': -1.5203546, ' Bears': -2.300048, ' Bear': -2.440786, 'No': -3.1122239}
{' Yes': -0.057413515, 'Yes': -3.326622, ' yes': -5.0610447, ' A': -5.4751477, ' BE': -6.074506}
{' Yes': -0.09283003, 'Yes': -3.3970807, ' Bears': -3.4752324, ' Generally': -4.2501116, ' yes': -5.651599}
{' Yes': -0.110912584, 'Yes': -3.0658972, ' Bears': -3.6526473, ' No': -4.202816, ' Generally': -5.007635}
{' Yes': -0.22080366, ' No': -1.9487604, ' A': -3.965276, ' yes': -4.315492, ' ': -4.9108386}
{' Yes': -0.033368807, ' yes': -3.7644117, 'Yes': -4.94482, ' ': -6.8432913, '\n': -7.386988}
{' No': -0.6688883, ' Yes': -1.0114138, ' Bears': -3.0148087, ' Generally': -3.7570398, 'No': -4.143261}
{' Yes': -0.035056468, ' yes': -3.7826931, 'Yes': -5.0906706, ' Bears': -5.9251947, ' ': -6.8843007}
{' No': -0.64968914, ' Yes': -1.2776266, 'No': -2.5713677, ' Generally': -3.028948, ' A': -3.523623}
{' Yes': -0.05784103, 'Yes': -3.545922, ' yes': -4.776866, ' Generally': -4.87066, '\n': -5.537562}
{' No': -0.37450433, 'No': -2.0331993, ' Generally': -2.9743671, ' It': -3.2545397, ' Yes': -3.698914}
{' Yes': -0.12322226, 'Yes': -3.6263044, ' Generally': -3.715347, ' It': -4.422254, '\n': -4.5307345}
{' Yes': -1.0936393, ' No': -1.305437, '\n': -2.0170403, ' A': -2.393253, 'No': -2.425949}
{' Yes': -0.11042969, 'Yes': -2.7790275, '\n': -3.5986383, ' yes': -4.8259788, ' ': -5.617374}
{' No': -0.76685184, 'No': -1.6879277, '\n': -1.7157997, ' Bears': -2.4301114, ' Yes': -3.6190312}
{' Yes': -0.26962408, '\n': -2.3523, 'Yes': -2.8629565, ' Bears': -2.9914048, ' ': -4.3983183}
{' No': -0.11567027, ' Yes': -3.0733423, 'No': -3.0995262, ' A': -5.019376, ' Generally': -5.401206}
{' Yes': -0.01475621, 'Yes': -4.5139875, ' yes': -6.1810517, '\n': -7.8142796, ' ': -7.851673}
{' No': -0.13650864, 'No': -2.697502, ' Bears': -3.8001683, ' Yes': -3.9963183, ' Generally': -4.797315}
{' Yes': -0.031539336, 'Yes': -4.3650794, ' Bears': -4.4555635, ' yes': -6.1924977, ' No': -6.3513427}
{' No': -0.46627313, 'No': -1.1281841, '\n': -3.4653013, ' ': -4.9424906, ' no': -5.5941033}
{' Yes': -0.20336576, 'Yes': -2.0232108, '\n': -3.5722563, ' yes': -4.2818913, ' ': -5.5009084}
{' No': -0.47203773, 'No': -1.0790019, '\n': -4.060879, ' ': -5.054028, ' no': -5.446956}
{' No': -1.0135037, ' Yes': -1.3901097, 'No': -1.4646832, '\n': -2.6028666, 'Yes': -3.123512}
{' Yes': -0.14524835, ' yes': -2.657137, 'Yes': -3.9716442, ' A': -4.460493, ' No': -4.586384}
{' Yes': -0.10605238, ' yes': -2.672674, 'Yes': -3.9013839, '\n': -5.7981467, ' ': -6.0696197}
{' Yes': -0.45561725, ' Bears': -2.5935125, ' No': -2.6010563, ' yes': -2.6259177, '\n': -3.4632428}
{' Yes': -0.13564378, ' yes': -2.5629241, 'Yes': -3.6417816, '\n': -4.803503, ' Bears': -5.490613}
{' Yes': -0.027754182, ' Generally': -4.7459946, 'Yes': -5.05398, '\n': -5.271158, ' ': -6.242647}
{' Yes': -0.011388739, 'Yes': -5.268608, ' Generally': -6.05577, '\n': -6.4373984, ' yes': -7.207818}
{' Yes': -0.29525405, ' No': -2.4252741, ' Generally': -2.4266303, ' Bears': -3.9330273, '\n': -3.990292}
{' Yes': -0.05386589, ' Bears': -3.8850179, ' Generally': -4.41948, '\n': -5.0348434, 'Yes': -5.237837}
{' Yes': -0.47877827, ' No': -2.013919, ' Generally': -2.3453953, ' A': -3.2582524, '\n': -3.6026545}
{' Yes': -0.09205413, ' Generally': -3.7168767, 'Yes': -3.9411674, '\n': -4.2012115, ' A': -4.7578692}
{' No': -0.812684, ' Generally': -2.0117786, '\n': -2.2692192, ' Bears': -2.283452, ' Yes': -2.5787075}
{' Yes': -0.39652637, ' Bears': -1.8071766, '\n': -3.1570854, ' Generally': -3.2219007, ' No': -3.4094923}
{' Yes': -0.1353447, ' No': -3.4502842, ' A': -3.5206594, 'Yes': -3.858308, '\n': -4.112384}
{' Yes': -0.0413516, 'Yes': -3.9002116, '\n': -4.928732, ' A': -5.050665, ' ': -5.688816}
{' No': -0.77500683, ' Yes': -1.8069854, ' Bears': -2.1276774, '\n': -2.2434478, 'No': -3.0519137}
{' Yes': -0.19382237, ' Bears': -2.379476, '\n': -3.571262, 'Yes': -3.9135106, ' No': -4.3624434}
{' Yes': -0.58112586, ' No': -1.1774927, ' Generally': -2.9036489, ' A': -3.5202606, ' ': -4.4849305}
{' Yes': -0.019591834, 'Yes': -4.990476, '\n': -5.688427, ' ': -5.853828, ' A': -6.0315623}
{' No': -0.48324874, ' Bears': -1.973258, ' Generally': -2.178193, 'No': -3.3307965, '\n': -3.459014}
{' Yes': -0.10466398, ' Bears': -3.1050987, ' Generally': -4.0897064, '\n': -4.219499, 'Yes': -4.7130203}
{' No': -0.25993192, ' Yes': -2.294945, 'No': -2.4991212, ' A': -4.1554036, '\n': -4.5586495}
{' Yes': -0.06933911, 'Yes': -3.5915005, ' No': -4.2686872, '\n': -4.790012, ' ': -4.881416}
{' No': -0.1411639, 'No': -2.4359999, '\n': -4.247409, ' ': -4.4448137, ' Bears': -4.505209}
{' No': -0.9042932, ' Yes': -1.2920744, ' Bears': -1.5881654, 'No': -3.083599, '\n': -3.5735588}
{' Yes': -0.07358549, 'Yes': -4.2969604, ' Generally': -4.3660245, ' A': -4.5283318, ' yes': -4.871643}
{' Yes': -0.038794134, 'Yes': -4.380381, ' yes': -4.843693, '\n': -5.4222083, ' A': -5.4637227}
{' Yes': -0.27919656, ' Bears': -2.812167, ' No': -2.814864, ' Generally': -2.9763076, '\n': -3.8070457}
{' Yes': -0.046325203, ' Bears': -4.205079, 'Yes': -4.3037295, ' yes': -5.093026, ' ': -5.6114383}
{' Yes': -0.05882128, ' No': -3.5950055, ' Generally': -3.849646, 'Yes': -5.4419885, ' A': -6.9029336}
{' Yes': -0.0760481, ' Generally': -2.902342, 'Yes': -4.7245274, ' No': -5.503887, ' In': -7.008535}
{' Yes': -0.19709262, ' P': -2.838244, ' Generally': -2.9148543, ' No': -2.973639, ' On': -5.456225}
{' Yes': -0.5833566, ' No': -1.5274674, ' P': -2.4556234, ' Generally': -2.4666154, ' It': -4.305229}
{' Yes': -0.033291657, ' Generally': -3.9792867, 'Yes': -4.6345544, ' No': -6.4356923, ' P': -7.0392327}
{' Yes': -0.15396865, ' No': -2.427469, ' Generally': -3.7521992, 'Yes': -4.0331, 'No': -4.9295936}
{' Yes': -0.06379656, ' P': -3.6601481, ' Generally': -4.0574694, 'Yes': -4.7938566, ' No': -4.897552}
{' Yes': -0.13324031, ' No': -2.5002656, 'Yes': -4.1188912, ' P': -4.495009, ' Generally': -5.0083966}
{' Yes': -0.021283053, 'Yes': -4.220912, ' No': -6.0527062, ' Generally': -6.5079117, '\n': -7.103234}
{' Yes': -0.10469846, ' No': -2.897894, 'Yes': -3.8356402, ' Generally': -4.822521, 'No': -5.390482}
{' Yes': -0.04079192, 'Yes': -4.344548, ' P': -4.5181727, ' No': -4.739263, ' Generally': -5.453014}
{' No': -0.2981794, ' Yes': -2.1747854, 'No': -2.5618398, ' P': -3.229875, ' Generally': -4.503515}
{' Yes': -0.0358399, ' Generally': -3.7005982, ' No': -5.5683975, 'Yes': -5.7821617, ' P': -6.965258}
{' Yes': -0.027662938, ' Generally': -4.4917665, ' No': -4.7550626, 'Yes': -5.1836286, ' A': -7.4695816}
{' Yes': -0.060445298, ' Generally': -3.544744, ' P': -3.8639712, 'Yes': -5.8020015, ' No': -6.190486}
{' No': -0.47921228, ' Yes': -1.4356256, ' P': -3.0034945, 'No': -3.142214, ' Generally': -3.355469}
{' Yes': -0.11117402, ' No': -3.4920561, ' Generally': -3.6096234, 'Yes': -3.771044, '\n': -4.9212437}
